,feature,coefficient
3608,casino,0.2741629994985269
19264,small,0.2737467837901607
5115,creatures,0.2734818939264896
17856,roll,0.2721634634290551
18509,select,0.2713055393078506
18609,setting,0.2709228041382002
7665,fall,0.27082048185780083
20403,sun,0.2708123875802805
1033,africa,0.2706318973812202
5860,detective,0.27023060029729334
19948,station,0.2692885580271283
21082,theft,0.2689588598982658
18733,sherlock,0.26863937793999054
5772,depth,0.2682305412984854
20486,sure,0.26820224456700836
14330,north,0.26797665463842724
5802,design,0.26762829505143615
21850,truly,0.2675378947762905
3212,buildings,0.2659383163150938
3594,cartridge,0.265438700696788
14791,orange,0.2647938443553033
5138,crime,0.2646571587647368
17038,recommended,0.2644085223870241
447,3rd,0.2640385524508701
5807,designed,0.26392782061591785
789,accurately,0.26373578823843563
5460,davis,0.26291730587757345
19945,states,0.2628224249102065
22448,used,0.2625714004599099
1927,attention,0.2622701534572613
6765,efforts,0.26169426935303053
10554,immerse,0.2611882826116446
20570,swat,0.26081062656483767
3267,burnout,0.26079231315764734
21422,titan,0.26003744885250313
16053,power,0.2599750910278666
3633,catacombs,0.25965952085365
22451,user,0.2594295573218918
11897,larger,0.2589752505617854
19530,soviet,0.25878710436558383
4039,cinematic,0.2585835062345409
18749,shifts,0.25848821951616757
19257,sly,0.2582812190136092
13610,motion,0.25815614840899975
17840,roger,0.25676634689706485
17335,renowned,0.25651264244510014
1659,area,0.25647907593125563
4203,closer,0.2564463951525195
1669,arent,0.25564111787231947
9759,hawk,0.2547717928365902
14195,ninja,0.25433959531913386
13040,meleestyle,0.2539382652555018
8556,frozen,0.253471065233301
1432,angels,0.25330256834675197
7425,exotic,0.25323585534979093
893,addictive,0.2529045227761187
19344,snowboarding,0.2527516569853365
6665,earths,0.2527316970078803
10695,incredible,0.2526175665848547
12850,mask,0.2522842675088266
8423,frame,0.2518195719250204
10384,hunter,0.2516369334331875
21584,towers,0.2514129005408344
15208,pass,0.2514113940931403
8799,gang,0.2504195338971145
